Exponential-sum fit to transmissions (IR) - N2-CH4
   25.00	   75.00	  125.00	  175.00	  225.00	  275.00	  325.00	  375.00	  425.00	  475.00	  525.00	  575.00	  625.00	  675.00	  725.00	  775.00	  825.00	  875.00	  925.00	  975.00	 1025.00	 1075.00	 1125.00	 1175.00	 1225.00	 1275.00	 1325.00	 1375.00	 1425.00	 1475.00	 1525.00	 1575.00	 1625.00	 1675.00	 1725.00	 1775.00	 1825.00	 1875.00	 1925.00	 1975.00
 40.0
6.87099880734603e-01	2.63375989464125e-01	4.95241298012724e-02	1.60114450120704e+03	1.48261001065178e+02	2.59146269861402e+00
3.90827779593408e-01	3.13270302619495e-01	2.95901917787098e-01	9.51211963544122e+02	1.87742116330423e+03	1.26663595496002e+03
2.59248664176532e-01	3.98787283541618e-01	3.41964052281851e-01	7.14071034486664e+02	8.72172702327679e+02	9.87716726098869e+02
4.18999001273685e-01	2.98812412629826e-01	2.82188586096489e-01	5.90869668520729e+02	4.66298496952076e+02	9.11631929627264e+02
1.55413782436831e-01	1.44213147506827e-01	7.00373070056343e-01	1.93439258203123e+02	3.59889283816464e+02	2.76509153952199e+02
3.51932521683937e-01	1.74417810462806e-01	4.73649667853257e-01	1.23932593108056e+02	8.59416553846452e+01	1.55570890596665e+02
1.86723273541532e-01	4.72108036050774e-01	3.41168690407694e-01	7.28562208911014e+01	4.72666760798722e+01	5.90888169909193e+01
2.86131379901237e-01	4.06705612025079e-01	3.07163008073684e-01	4.27923766590698e+01	2.21923699387842e+01	3.10141971746418e+01
3.01698019348399e-01	2.11266502570588e-01	4.87035478081014e-01	1.52828969386710e+01	1.05888931637282e+01	2.19159584226778e+01
2.71850152777163e-01	1.36477051273196e-01	5.91672795949641e-01	7.04257195398178e+00	5.22514885969237e+00	8.86421775491238e+00
2.71232623425911e-01	5.38763927513228e-01	1.90003449060861e-01	4.05009014113706e+00	2.67182265450625e+00	0.00000000000000e+00
